# KPS9566.TXT
0x83B2	0xB152	# 녒
0x83B3	0xB156	# 녖
0x83B4	0xB157	# 녗
0x83B5	0xB159	# 녙
0x83B6	0xB15A	# 녚
0x83B7	0xB15B	# 녛
0x83B8	0xB142	# 녂
0x83B9	0xB17B	# 녻
0x83BA	0xB17D	# 녽
0x83BB	0xB17E	# 녾
0x83BC	0xB17F	# 녿
0x83BD	0xB181	# 놁
0x83BE	0xB183	# 놃
0x83BF	0xB184	# 놄
0x83C0	0xB185	# 놅
0x83C1	0xB186	# 놆
0x83C2	0xB187	# 놇
0x83C3	0xB18A	# 놊
0x83C4	0xB18E	# 놎
0x83C5	0xB18F	# 놏
0x83C6	0xB190	# 놐
0x83C7	0xB191	# 놑
0x83C8	0xB17A	# 녺
0x83C9	0xB18C	# 놌
0x83CA	0xB1EB	# 뇫
0x83CB	0xB1ED	# 뇭
0x83CC	0xB1EE	# 뇮
0x83CD	0xB1EF	# 뇯
0x83CE	0xB1F1	# 뇱
0x83CF	0xB1F2	# 뇲
0x83D0	0xB1F3	# 뇳
0x83D1	0xB1F4	# 뇴
0x83D2	0xB1F5	# 뇵
0x83D3	0xB1F6	# 뇶
0x83D4	0xB1F7	# 뇷
0x83D5	0xB1FA	# 뇺
0x83D6	0xB1FE	# 뇾
0x83D7	0xB1FF	# 뇿
0x83D8	0xB200	# 눀
0x83D9	0xB201	# 눁
0x83DA	0xB202	# 눂
0x83DB	0xB203	# 눃
0x83DC	0xB1EA	# 뇪
0x83DD	0xB1FC	# 뇼
0x83DE	0xB207	# 눇
0x83DF	0xB209	# 눉
0x83E0	0xB20A	# 눊
0x83E1	0xB20D	# 눍
0x83E2	0xB20E	# 눎
0x83E3	0xB20F	# 눏
0x83E4	0xB210	# 눐
0x83E5	0xB211	# 눑
0x83E6	0xB212	# 눒
0x83E7	0xB213	# 눓
0x83E8	0xB216	# 눖
0x83E9	0xB21A	# 눚
0x83EA	0xB21B	# 눛
0x83EB	0xB21C	# 눜
0x83EC	0xB21D	# 눝
0x83ED	0xB21F	# 눟
0x83EE	0xB206	# 눆
0x83EF	0xB218	# 눘
0x83F0	0xB277	# 뉷
0x83F1	0xB279	# 뉹
0x83F2	0xB27A	# 뉺
0x83F3	0xB27B	# 뉻
0x83F4	0xB27D	# 뉽
0x83F5	0xB27E	# 뉾
0x83F6	0xB27F	# 뉿
0x83F7	0xB280	# 늀
0x83F8	0xB281	# 늁
0x83F9	0xB282	# 늂
0x83FA	0xB283	# 늃
0x83FB	0xB286	# 늆
0x83FC	0xB287	# 늇
0x83FD	0xB28A	# 늊
0x83FE	0xB28B	# 늋
0x8441	0xB28C	# 늌
0x8442	0xB28D	# 늍
0x8443	0xB28E	# 늎
0x8444	0xB28F	# 늏
0x8445	0xB276	# 뉶
0x8446	0xB288	# 늈
